540,1980,6,394
541,1980,7,277
542,1980,8,423
543,1980,9,357
544,1980,12,313
545,1980,13,25
546,1980,14,352
547,1980,15,407
548,1980,16,101
549,1980,17,25
550,1981,4,139
551,1981,6,403
552,1981,7,152
553,1981,8,31
554,1981,12,139
555,1981,13,468
556,1981,14,139
557,1981,15,352
558,1981,16,44
559,1982,6,405
560,1982,7,56
561,1982,8,352
562,1982,9,345
563,1982,12,35
564,1982,13,153
565,1982,14,152
566,1982,15,209
567,1982,16,42
568,1983,6,273
569,1983,7,157
570,1983,8,35
571,1983,12,252
572,1983,13,351
573,1983,14,352
574,1983,15,139
575,1983,16,286
576,1984,6,377
577,1984,7,237
578,1984,8,200
579,1984,9,442
580,1984,12,423
581,1984,13,71
582,1984,14,288
583,1984,15,339
584,1984,16,74
585,1985,6,217
586,1985,7,157
587,1985,8,36
588,1985,12,157
589,1985,13,120
590,1985,14,394
591,1985,15,337
592,1985,16,157
593,1986,6,423
594,1986,7,157
595,1986,8,157
596,1986,9,345
597,1986,10,306
598,1986,12,400
599,1986,13,265
600,1986,14,417
601,1986,15,236
602,1986,16,402
603,1987,3,423
604,1987,6,146
605,1987,7,295
606,1987,8,306
607,1987,12,202
608,1987,13,352
609,1987,15,295
610,1987,16,25
611,1988,6,416
612,1988,7,326
613,1988,8,220
614,1988,9,89
615,1988,12,234
616,1988,13,25
617,1988,14,474
618,1988,15,139
619,1988,16,139
620,1989,6,352
621,1989,7,295
622,1989,8,401
623,1989,12,271
624,1989,13,195
625,1989,14,40
626,1989,15,89
627,1989,16,89
628,1990,5,139
629,1990,6,405
630,1990,7,92
631,1990,8,209
632,1990,9,139
633,1990,12,352
634,1990,13,143
635,1990,14,352
636,1990,15,47
637,1990,16,341
638,1991,6,247
639,1991,7,449
640,1991,8,76
641,1991,10,140
642,1991,12,292
643,1991,13,269
644,1991,14,265
645,1991,15,150
646,1991,16,89
647,1992,6,103
648,1992,7,140
649,1992,8,97
650,1992,9,253
651,1992,10,317
652,1992,12,268
653,1992,13,140
654,1992,14,139
655,1992,15,16
656,1992,16,344
657,1993,6,449
658,1993,7,254
659,1993,8,401
660,1993,12,199
661,1993,13,137
662,1993,14,40
663,1993,15,25
664,1993,16,155
665,1994,6,120
666,1994,7,156
667,1994,8,323
668,1994,9,449
669,1994,12,449
670,1994,13,120
671,1994,14,40
672,1994,15,35
673,1994,16,45
674,1995,6,351
675,1995,7,120
676,1995,8,401
677,1995,12,401
678,1995,13,25
679,1995,14,40
680,1995,15,351
681,1995,16,290
682,1996,6,421
683,1996,7,254
684,1996,8,355
685,1996,9,246
686,1996,12,355
687,1996,13,40
688,1996,14,15
689,1996,15,350
690,1996,16,161
691,1997,6,421
692,1997,7,177
693,1997,8,177
694,1997,12,421
695,1997,13,350
696,1997,14,150
697,1997,15,150
698,1997,16,261
699,1998,6,321
700,1998,7,40
701,1998,8,306
702,1998,9,217
703,1998,12,401
704,1998,13,146
705,1998,14,317
706,1998,15,204
707,1998,16,120
708,1998,18,401
709,1999,6,217
710,1999,7,177
711,1999,8,87
712,1999,12,431
713,1999,13,140
714,1999,14,471
715,1999,15,218
716,1999,16,25
717,2000,6,443
718,2000,7,471
719,2000,8,421
720,2000,9,25
721,2000,12,276
722,2000,13,421
723,2000,14,217
724,2000,15,353
725,2000,16,167
726,2001,6,217
727,2001,7,471
728,2001,8,205
729,2001,12,311
730,2001,13,411
731,2001,14,471
732,2001,15,352
733,2001,16,46
734,2002,6,353
735,2002,7,355
736,2002,8,353
737,2002,9,307
738,2002,12,54
739,2002,13,120
740,2002,14,395
741,2002,15,150
742,2002,16,246
743,2003,6,353
744,2003,7,380
745,2003,8,306
746,2003,12,401
747,2003,13,353
748,2003,14,353
749,2003,15,217
750,2003,16,93
751,2004,1,217
752,2004,6,54
753,2004,7,94
754,2004,8,217
755,2004,9,207
756,2004,12,150
757,2004,13,395
758,2004,14,321
759,2004,15,353
760,2004,16,217
761,2005,1,421
762,2005,6,54
763,2005,7,353
764,2005,8,306
765,2005,12,217
766,2005,13,217
767,2005,14,306
768,2005,15,217
769,2005,16,167
770,2006,1,471
771,2006,2,177
772,2006,6,61
773,2006,7,217
774,2006,8,235
775,2006,9,127
776,2006,12,54
777,2006,13,34
778,2006,14,208
779,2006,15,150
780,2006,16,246
781,2007,1,217
782,2007,6,54
783,2007,7,177
784,2007,8,319
785,2007,10,306
786,2007,12,428
787,2007,13,137
788,2007,14,306
789,2007,15,442
790,2007,16,93
791,2008,1,2
792,2008,6,306
793,2008,7,306
794,2008,8,217
795,2008,9,380
796,2008,12,306
797,2008,13,150
798,2008,14,217
799,2008,15,415
800,2008,16,217
801,2009,1,449
802,2009,6,217
803,2009,7,307
804,2009,8,205
805,2009,10,106
806,2009,12,306
807,2009,13,471
808,2009,14,217
809,2009,15,307
810,2009,16,217
811,2010,1,421
812,2010,6,39
813,2010,7,217
814,2010,8,431
815,2010,9,279
816,2010,12,217
817,2010,13,137
818,2010,14,217
819,2010,15,431
820,2010,16,142
821,2011,1,205
822,2011,6,262
823,2011,7,177
824,2011,8,235
825,2011,12,167
826,2011,13,257
827,2011,14,217
828,2011,15,205
829,2011,16,328
830,2012,1,169
831,2012,6,217
832,2012,7,257
833,2012,8,431
834,2012,9,207
835,2012,12,235
836,2012,13,217
837,2012,14,232
838,2012,15,217
839,2012,16,102
840,2013,1,43
841,2013,4,217
842,2013,6,150
843,2013,7,205
844,2013,8,205
845,2013,12,54
846,2013,13,150
847,2013,14,431
848,2013,15,86
849,2013,16,246
850,2014,1,411
851,2014,6,150
852,2014,7,205
853,2014,8,431
854,2014,9,235
855,2014,12,177
856,2014,13,431
857,2014,14,318
858,2014,15,316
859,2014,16,309
860,2015,1,360
861,2015,6,150
862,2015,7,205
863,2015,8,205
864,2015,12,360
865,2015,13,137
866,2015,14,320
867,2015,15,150
868,2015,16,145
869,2016,1,205
870,2016,6,217
871,2016,7,37
872,2016,8,217
873,2016,9,207
874,2016,12,217
875,2016,13,371
876,2016,14,431
877,2016,15,150
878,2016,16,217
879,2017,1,205
880,2017,6,150
881,2017,7,51
882,2017,8,419
883,2017,10,205
884,2017,12,37
885,2017,13,354
886,2017,14,347
887,2017,15,217
888,2017,16,217
889,2018,1,431
890,2018,6,217
891,2018,7,240
892,2018,8,201
893,2018,8,201
894,2018,9,319
895,2018,12,3
896,2018,14,314
897,2018,15,110
898,2018,16,217
